Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total duration of bright sunshine for Scotland E
Areal series, starting in 1910
Last updated 01-May-2026 11:32
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1967   45.4   66.2  123.7  143.2  121.4  202.1  139.5  130.9   92.6   99.2   62.4   49.6   152.9   388.3   472.4   254.2  1276.1
1968   37.9   78.3   91.2  153.3  126.0  192.3   91.2  160.5   86.0   62.9   37.4   25.6   165.7   370.5   444.0   186.2  1142.5
1969   39.8   63.7   82.4  152.4  107.7  197.8  174.2  155.9  106.9   83.8   64.1   28.5   129.1   342.5   528.0   254.8  1257.3
1970   26.3  102.4  127.3  143.6  128.4  213.3  106.9  138.0   95.7   79.7   53.9   42.1   157.3   399.3   458.1   229.3  1257.5
1971   23.8   62.8   85.8  130.5  211.4  134.5  191.4  125.2  133.2   97.9   54.3   24.2   128.7   427.7   451.1   285.4  1275.0
1972   28.3   35.1  100.3  140.0  126.6  156.3  193.8  150.1  120.2   91.7   57.9   34.7    87.6   367.0   500.2   269.9  1235.1
1973   37.0   94.7  128.6  143.4  139.9  157.7  139.5  158.8  103.2   84.6   70.6   38.0   166.3   411.8   456.0   258.5  1295.9
1974   39.1   53.7   87.4  166.1  169.7  191.1  158.4  138.4  111.1   63.1   56.4   43.8   130.8   423.2   487.9   230.5  1278.4
1975   40.7   64.3  106.6  116.8  217.6  212.6  150.5  184.7  106.2   76.6   59.7   45.4   148.8   441.0   547.8   242.5  1381.7
1976   37.5   45.5   92.7  118.2  126.1  159.7  218.6  205.0   74.9   65.8   70.7   46.0   128.3   337.0   583.2   211.3  1260.5
1977   45.4   60.8   76.0  153.3  186.8  177.3  180.3  165.5   90.5   75.8   63.0   32.5   152.2   416.1   523.1   229.3  1307.2
1978   47.6   55.9   99.2   98.6  192.0  168.5  132.9  107.5   99.6   79.5   55.1   17.5   136.1   389.8   408.9   234.2  1153.9
1979   46.3   74.8  105.4  107.3  160.9  168.9  143.1  114.0  138.3   61.3   55.9   34.8   138.6   373.6   426.0   255.5  1210.9
1980   28.6   38.0   70.2  165.5  221.8  134.7  102.6  109.9   83.6   86.7   43.6   29.1   101.4   457.5   347.2   214.0  1114.4
1981   47.0   75.1   95.2  182.5  172.1  147.3  139.5  158.6  115.6  103.8   53.8   29.7   151.2   449.8   445.4   273.2  1320.1
1982   34.9   57.9  122.8  150.9  204.0  112.9  192.7  144.1  107.5   53.1   51.3   31.9   122.5   477.8   449.6   211.9  1264.1
1983   43.4   60.0   75.5  114.7   80.2  155.8  175.6  163.3   96.0   82.8   52.1   23.3   135.3   270.3   494.6   231.0  1122.7
1984   41.8   50.2   66.3  175.0  197.1  156.0  190.5  166.6   85.0   79.6   30.5   36.0   115.3   438.5   513.1   195.1  1274.7
1985   44.8   75.9   91.8  114.2  148.7  151.2  114.1  130.8   89.5  101.8   48.1   27.8   156.8   354.7   396.1   239.4  1138.7
1986   36.8   55.9  118.8  107.3  163.4  196.3  144.6  120.8  137.9  106.8   58.5   32.6   120.4   389.5   461.7   303.3  1279.8
1987   37.3   62.9  103.5  128.9  165.8  101.8  119.8  138.9  147.2   71.2   49.7   22.5   132.8   398.2   360.5   268.0  1149.5
1988   41.3   68.6  101.7  111.7  181.6  185.5  123.7  139.0  130.1   65.3   71.1   34.9   132.4   395.0   448.3   266.5  1254.5
1989   44.7   86.1  113.5  122.4  203.0  177.3  230.6  144.3  105.3   79.8   70.6   33.4   165.7   438.9   552.2   255.6  1410.9
1990   46.8   71.7  109.3  175.2  179.6  126.0  207.9  136.3  108.0   67.1   48.9   29.7   151.8   464.1   470.3   224.0  1306.6
1991   52.4   59.9   72.8  159.2  152.4  127.8  132.8  160.3  144.9   67.9   48.8   34.0   142.0   384.4   420.8   261.5  1213.0
1992   59.2   65.5   77.5   97.4  220.1  173.5  135.4  144.9   93.4   74.3   60.5   32.8   158.7   395.0   453.8   228.2  1234.5
1993   36.0   45.0  106.7  101.2  123.1  122.2  146.0  137.4  107.6   89.7   48.2   34.4   113.8   331.0   405.6   245.6  1097.5
1994   42.0   42.3  114.5  137.1  201.8  184.2  156.5  139.5  106.0   82.0   47.1   44.8   118.7   453.5   480.1   235.0  1297.8
1995   43.2   79.1  117.2  135.5  171.5  213.3  192.5  226.5  100.5   86.3   46.5   34.5   167.2   424.2   632.3   233.3  1446.6
1996   13.0   79.0   55.2  101.0  167.9  212.8  169.0  146.2  135.9   79.6   78.4   31.4   126.5   324.1   528.0   293.9  1269.5
1997   40.3   73.9  117.7  116.4  163.5  134.4  163.1  162.9  152.1  106.5   30.3   23.4   145.6   397.6   460.4   288.8  1284.5
1998   34.1   51.0   82.7  114.9  162.6  134.0  115.7  134.7   96.0  113.1   65.5   35.6   108.6   360.2   384.4   274.6  1140.1
1999   46.0   93.7  109.1  131.7  163.3  144.9  165.4  145.3  108.3   67.1   53.9   46.7   175.3   404.2   455.6   229.2  1275.4
2000   60.8   75.0   99.4  119.9  223.8  147.0  144.0  135.2   98.7   89.3   64.4   39.0   182.6   443.1   426.2   252.4  1296.6
2001   53.1   83.1  106.8  138.7  230.2  140.7  118.4  128.8   94.4   71.8   52.1   46.3   175.3   475.7   387.9   218.3  1264.4
2002   37.6   64.4  109.9  134.6  151.1  131.3  103.0  137.0  109.2   79.1   44.2   17.4   148.3   395.6   371.4   232.6  1118.9
2003   45.3   92.8  155.3  167.5  149.4  177.9  152.0  192.0  123.4  114.7   62.0   39.7   155.5   472.1   521.9   300.1  1472.0
2004   36.1   91.8  108.3  100.7  191.7  135.9  134.6  139.3  129.2   64.3   53.4   48.4   167.6   400.7   409.8   247.0  1233.7
2005   43.2   70.3   85.5  149.9  192.5  145.9  161.3  154.2  111.6   53.1   65.3   32.1   161.9   427.9   461.4   230.1  1264.9
2006   33.2   59.7   70.5  184.5  187.4  177.0  214.9  135.2  119.2   68.2   70.6   54.7   125.0   442.3   527.1   258.1  1375.1
2007   48.2   64.2  128.8  189.3  176.6   89.6  132.1  147.6  113.3  106.7   52.2   39.6   167.1   494.7   369.3   272.2  1288.2
2008   29.2   84.5  121.6  145.7  187.9  153.8  138.4   85.8   85.2  101.0   68.4   35.4   153.3   455.3   378.0   254.7  1237.1
2009   51.9   51.9  139.2  132.6  223.3  175.8  162.0  142.8  115.6   79.5   54.4   28.4   139.2   495.1   480.5   249.6  1357.3
2010   40.7   64.3  101.1  155.7  192.3  162.6  135.6  140.2  113.7   82.9   54.3   43.8   133.3   449.0   438.4   250.9  1287.0
2011   47.5   48.4  107.8  186.9  190.4  139.4  155.6  104.1  110.7   61.6   54.4   35.3   139.7   485.1   399.1   226.8  1242.2
2012   59.9   61.6  146.0  102.9  191.4   99.6   92.4  132.6  130.3   86.6   61.1   32.1   156.8   440.3   324.6   278.0  1196.6
2013   26.2   81.7   72.5  161.0  159.4  148.9  211.8  132.3  114.5   59.9   80.9   29.8   140.0   392.9   493.0   255.3  1278.8
2014   26.8   59.7  116.0  132.0  124.3  121.8  208.0  145.9   98.3   64.5   38.3   49.4   116.3   372.3   475.7   201.2  1185.1
2015   58.3   86.2  115.3  214.6  183.0  149.7  133.0  164.8  127.3   89.6   44.7   25.9   193.9   512.9   447.5   261.6  1392.5
2016   23.7   79.7  104.2  144.1  197.6  138.4  134.8  151.3  110.1   85.0   74.9   25.0   129.3   445.8   424.5   270.0  1268.8
2017   59.1   59.4  123.4  152.5  205.8  118.8  145.4  145.8  100.2   69.9   75.4   42.5   143.5   481.8   410.0   245.6  1298.3
2018   49.9   96.0   85.0  150.2  228.5  212.5  202.5  138.9  123.1   92.4   49.2   43.4   188.3   463.8   553.9   264.7  1471.6
2019   61.1   79.8  123.0  165.6  164.1  172.2  145.5  144.7  119.6   95.4   43.9   35.4   184.3   452.7   462.3   259.0  1350.3
2020   43.6   89.8  116.0  200.8  225.4  128.4  146.0  117.6  128.2   63.7   56.0   29.2   168.8   542.2   392.0   248.0  1344.8
2021   52.0   67.1  106.9  223.1  133.5  179.9  168.4  130.7  111.1   62.4   55.0   28.2   148.2   463.5   479.0   228.5  1318.2
2022   61.4   89.8  159.3  137.2  146.4  178.1  149.2  172.7  115.3   84.4   52.9   33.9   179.4   442.9   500.0   252.6  1380.6
2023   61.7   56.3  102.0  147.3  159.0  212.4  142.1  137.5  130.6   78.8   51.4   28.2   152.0   408.3   491.9   260.8  1307.2
2024   51.7   83.7   92.8  124.4  144.7  164.4  128.3  160.0  122.0   86.2   60.5   26.2   163.6   361.8   452.6   268.6  1244.8
2025   57.2   57.1  131.2  186.6  267.7  167.6  160.5  178.7  127.1   72.1   52.3   27.2   140.5   585.5   506.9   251.5  1485.4
2026   33.3   40.1  142.7  195.8                                                           100.6                                
