Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total duration of bright sunshine for England SE and Central S
Areal series, starting in 1910
Last updated 01-May-2026 11:32
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1974   44.7   66.4  111.6  172.2  216.5  209.2  188.8  202.7  156.3   98.1   49.4   48.4   168.0   500.3   600.7   303.8  1564.2
1975   38.4   85.6   70.5  144.4  166.0  295.2  228.1  233.6  147.6  117.6   81.4   48.6   172.4   380.9   757.0   346.6  1657.0
1976   61.1   39.6  127.1  194.3  221.0  275.2  280.9  282.0  131.5   63.7   55.9   58.3   149.3   542.3   838.1   251.0  1790.4
1977   45.7   82.1  105.1  166.4  220.1  132.7  210.5  146.1  124.5  115.8   92.9   39.9   186.1   491.6   489.3   333.2  1481.8
1978   57.3   53.5  117.2  121.3  201.3  188.4  140.6  183.2  170.0  106.3   77.0   32.3   150.6   439.8   512.2   353.2  1448.2
1979   66.2   53.9  103.7  128.3  209.0  150.1  202.8  177.3  177.5  118.5   70.3   55.5   152.4   441.0   530.2   366.3  1513.1
1980   73.1   55.5   81.1  173.3  229.8  189.3  163.2  175.3  140.1  124.3   66.8   63.0   184.1   484.2   527.9   331.2  1534.9
1981   58.3   75.4   66.3  130.9  127.2  157.4  154.1  213.7  155.7  104.8   48.5   45.8   196.7   324.4   525.2   309.0  1338.1
1982   59.1   50.7  159.5  188.2  218.0  195.1  181.8  180.5  155.6   72.8   62.8   50.4   155.6   565.6   557.4   291.1  1574.3
1983   51.3   87.3   93.7  149.3  149.4  191.9  264.7  231.2  114.0  115.3   52.9   60.3   189.0   392.4   687.8   282.1  1561.2
1984   84.2   73.2   68.3  233.4  145.1  246.8  238.0  192.6  112.1   90.9   65.4   53.7   217.7   446.8   677.4   268.4  1603.7
1985   52.4   87.5  108.7  154.2  178.1  166.9  236.2  195.1  148.8  121.4   83.9   39.5   193.7   441.1   598.2   354.1  1572.8
1986   64.8   70.5  117.7  145.0  192.0  223.2  191.7  165.6  157.6  113.2   76.7   60.9   174.8   454.7   580.5   347.5  1578.9
1987   54.0   69.0  107.8  173.0  198.6  143.0  188.2  177.9  146.8  113.0   54.0   37.9   183.9   479.4   509.1   313.7  1463.1
1988   57.0  121.7   94.2  161.3  208.1  154.6  168.6  188.2  143.9  111.3   91.8   39.2   216.7   463.6   511.4   346.9  1539.9
1989   66.5   91.7  101.6  145.2  300.2  252.7  275.2  260.5  134.8  101.4  104.5   25.6   197.3   547.1   788.4   340.7  1860.0
1990   49.8   93.7  151.6  233.8  278.7  134.1  278.6  253.4  172.6  117.1   78.0   51.6   169.1   664.1   666.1   367.8  1893.1
1991   64.5   61.6   99.4  159.2  144.2  134.1  210.4  251.4  175.5   90.3   54.5   53.4   177.6   402.7   596.0   320.4  1498.6
1992   52.5   65.4   65.8  137.8  267.3  219.8  166.6  150.9  129.0  110.3   58.9   48.1   171.3   471.0   537.3   298.2  1472.5
1993   39.7   53.2  134.1  127.1  184.1  214.5  173.8  218.2  105.7  111.5   70.5   49.4   141.0   445.3   606.5   287.7  1481.7
1994   67.7   68.1  121.2  170.9  158.3  253.3  254.5  182.6  115.4  143.8   37.4   57.1   185.1   450.3   690.4   296.6  1630.1
1995   55.0   72.4  185.0  182.7  240.9  203.6  249.1  291.3  143.1  125.7   74.2   41.3   184.5   608.7   744.0   343.0  1864.4
1996   29.5   93.4   74.7  155.1  184.0  266.4  233.8  221.0  151.5  130.9   96.0   53.3   164.2   413.8   721.2   378.4  1689.6
1997   52.8   57.5  143.9  217.8  252.6  146.9  240.5  188.2  190.3  160.1   62.9   50.5   163.5   614.2   575.6   413.2  1763.8
1998   65.9  104.3   82.2  126.7  231.4  152.1  176.6  257.6  148.6   94.4   89.8   39.3   220.8   440.3   586.2   332.7  1568.8
1999   60.9   87.4  121.4  164.0  187.4  214.5  256.6  187.1  159.1  154.0   81.8   69.8   187.6   472.8   658.2   394.9  1744.0
2000   72.0  100.2  120.8  140.4  195.9  172.4  174.0  214.9  127.7   94.2   72.4   41.4   242.0   457.1   561.3   294.3  1526.4
2001   79.2   82.6   66.1  137.4  222.6  235.2  226.5  200.0  139.3  105.1   87.8   85.7   203.2   426.1   661.6   332.2  1667.3
2002   47.9   83.6  110.0  209.9  198.9  178.4  187.0  186.8  177.9  102.4   62.0   34.0   217.2   518.8   552.2   342.2  1578.8
2003   86.5   96.0  166.9  191.8  201.7  223.1  206.4  240.1  194.6  146.6   75.4   52.3   216.5   560.5   669.6   416.6  1881.5
2004   61.9   73.4  108.3  159.5  206.2  232.1  186.4  202.5  170.8  104.5   53.9   45.5   187.6   473.9   621.0   329.1  1604.7
2005   68.3   71.2   95.2  148.4  222.1  211.3  199.5  239.6  160.1  104.5   93.8   68.6   185.0   465.6   650.4   358.4  1682.5
2006   53.7   67.1  108.6  152.3  165.6  269.9  307.4  179.0  162.1  106.5  100.1   44.3   189.4   426.5   756.3   368.6  1716.5
2007   61.2   68.3  178.1  239.0  178.2  172.8  201.6  217.2  160.6  109.4   86.1   65.1   173.8   595.3   591.6   356.1  1737.6
2008   54.7  134.2  106.6  175.7  201.4  230.6  216.3  127.9  129.9  135.9   47.0   77.6   254.0   483.7   574.8   312.8  1638.0
2009   62.6   63.2  173.8  185.7  224.3  221.3  200.7  195.7  166.9  102.1   67.0   66.2   203.5   583.9   617.8   336.0  1729.7
2010   58.5   58.9  124.6  234.1  203.6  263.1  204.1  136.8  137.5  120.5   56.4   29.7   183.7   562.2   604.0   314.4  1627.7
2011   47.1   42.5  143.7  235.8  233.5  198.8  187.1  164.9  164.2  136.8   56.4   57.7   119.3   613.0   550.8   357.4  1668.5
2012   73.2   83.7  174.5  155.7  191.5  141.3  179.1  188.5  181.1   86.0   74.9   60.9   214.5   521.7   508.9   341.9  1590.4
2013   43.8   68.1   66.8  167.3  192.5  188.2  291.5  214.4  126.4   97.5   78.5   53.9   172.7   426.6   694.1   302.5  1588.8
2014   64.0   97.1  160.2  168.2  202.0  241.7  269.1  199.2  144.6  106.8   58.3   75.0   215.1   530.3   709.9   309.7  1786.0
2015   69.1   79.7  142.3  227.7  195.7  248.0  204.1  148.2  179.1   96.6   29.5   33.5   223.8   565.7   600.3   305.3  1653.6
2016   59.6   89.4  136.0  176.8  214.2  126.9  212.9  234.5  139.2  128.3   84.1   61.7   182.5   526.9   574.3   351.7  1663.6
2017   75.1   54.3  127.1  203.3  194.3  235.9  202.2  197.3  134.3   92.7   84.6   51.8   191.1   524.6   635.4   311.6  1652.9
2018   57.4  119.2   77.2  134.0  261.6  263.6  300.8  190.9  184.1  142.7   76.0   46.0   228.4   472.8   755.3   402.8  1853.6
2019   61.1  122.5  126.3  180.6  211.3  188.8  233.7  228.2  172.5   84.1   59.0   63.0   229.6   518.2   650.6   315.6  1730.9
2020   54.7   75.6  168.9  249.8  327.5  212.7  204.5  186.1  172.1   69.4   60.3   48.6   193.2   746.2   603.3   301.8  1830.2
2021   34.6   68.7  116.5  222.8  166.1  188.4  206.7  137.1  150.5   98.7   74.7   29.1   152.0   505.4   532.3   324.0  1494.1
2022   72.7   92.0  159.7  185.9  186.8  236.5  248.2  245.3  130.5  132.9   72.4   53.8   193.8   532.4   730.0   335.8  1816.7
2023   70.1   86.0   63.8  159.4  232.3  280.5  170.3  184.4  170.1  114.4   79.2   21.6   209.9   455.4   635.2   363.7  1632.1
2024   76.5   48.9  100.7  140.5  191.9  237.7  196.3  208.6  129.8   86.4   53.6   22.8   147.1   433.1   642.7   269.7  1493.7
2025   59.1   69.3  198.5  255.2  259.7  267.7  233.8  223.8  176.4   82.0   76.9   67.3   151.1   713.4   725.3   335.3  1969.6
2026   67.0   49.1  154.4  244.3                                                           183.5                                
