Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total duration of bright sunshine for Scotland W
Areal series, starting in 1910
Last updated 01-May-2026 11:32
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1997   27.9   52.3   86.9  102.0  197.7  156.1  149.3  169.0  131.4   99.8   30.5   26.4   122.5   386.5   474.3   261.7  1229.1
1998   36.2   34.3   51.4  138.7  161.1  143.2  125.0  123.6  112.4   96.2   53.6   28.4    96.9   351.2   391.9   262.3  1104.3
1999   35.7   74.5  106.9  139.3  159.1  148.3  169.8  148.6  103.1   73.2   55.2   35.6   138.6   405.2   466.7   231.5  1249.2
2000   54.2   55.3   78.1  135.5  258.6  137.9  173.5  151.1   90.3   75.7   50.1   34.5   145.1   472.1   462.4   216.1  1294.7
2001   51.0   80.6  125.9  130.0  222.7  123.0  125.8  137.9  110.3   56.7   38.9   55.5   166.0   478.6   386.6   205.9  1258.2
2002   27.1   49.3  108.7  137.0  148.8  119.3  103.8  143.3  120.0   73.0   36.6   32.0   132.0   394.5   366.4   229.6  1098.9
2003   49.5   88.1  153.7  180.8  136.4  168.8  139.9  186.2  109.5  109.9   54.0   37.3   169.6   470.9   494.9   273.3  1414.0
2004   31.1   94.4  106.1  118.9  195.1  126.7  144.7  145.2  108.5   70.9   40.3   31.5   162.8   420.1   416.6   219.7  1213.3
2005   40.1   77.8   90.4  148.6  201.0  133.6  154.0  155.7  102.6   44.8   62.9   34.6   149.4   440.0   443.3   210.3  1246.0
2006   34.9   74.1   77.4  170.8  192.2  181.3  205.3  139.1  105.1   70.4   48.9   31.5   143.6   440.3   525.7   224.4  1330.9
2007   35.8   67.3  122.2  187.2  189.0  132.3  158.6  132.5  103.5   92.3   41.1   31.3   134.6   498.4   423.4   236.9  1293.1
2008   19.6   72.2  107.7  152.6  209.9  156.7  135.4   84.8   72.7   93.0   53.6   39.3   123.1   470.2   377.0   219.2  1197.5
2009   35.0   46.3  109.1  147.9  195.7  203.9  165.0  119.5  101.2   80.9   45.9   30.6   120.6   452.6   488.4   228.0  1280.9
2010   53.7   71.7   94.5  160.9  203.3  193.0  103.0  166.9  125.7   90.8   65.1   54.8   156.0   458.8   462.9   281.6  1383.5
2011   44.5   52.2   86.3  187.5  164.0  137.2  200.1  103.2   97.4   43.6   52.9   19.0   151.5   437.8   440.5   193.8  1187.8
2012   38.4   41.4  123.2  138.6  215.4  103.2  109.8  146.8  110.1   87.2   51.4   32.8    98.8   477.2   359.7   248.7  1198.2
2013   25.5   83.2   83.3  173.6  161.3  162.5  219.0  113.6   89.2   59.7   61.8   23.2   141.6   418.1   495.1   210.7  1255.9
2014   21.4   43.3   97.1  140.4  112.2  147.8  200.3  158.0  107.6   65.1   47.7   34.7    87.9   349.7   506.1   220.4  1175.6
2015   42.1   62.7   96.2  206.3  168.2  134.6  126.9  136.3  139.0   86.0   27.3   16.6   139.5   470.7   397.8   252.3  1242.2
2016   19.1   72.4  105.6  157.8  221.4  147.3  112.7  139.1   86.5   92.9   67.2   20.5   108.1   484.8   399.2   246.7  1242.7
2017   43.6   43.7  107.6  136.0  230.9  108.0  145.1  120.5   93.3   51.6   63.1   41.3   107.9   474.5   373.6   208.0  1184.7
2018   37.2   91.7   90.2  125.9  226.2  232.8  195.7  110.5   98.2   83.3   54.0   27.8   170.2   442.3   538.9   235.5  1373.5
2019   48.4   73.2   84.8  162.1  184.8  162.4  141.3  140.8  111.8   97.4   55.1   30.1   149.4   431.7   444.5   264.2  1292.1
2020   23.0   60.5   97.5  211.2  237.0  139.6  110.3  128.7  111.7   68.5   34.2   32.7   113.5   545.7   378.5   214.4  1254.7
2021   54.9   63.8   86.8  229.2  155.1  163.7  196.5  136.0   82.1   58.2   55.4   19.6   151.3   471.1   496.2   195.7  1301.2
2022   36.5   55.5  159.8  156.1  130.8  157.0  143.7  176.5  126.9   58.4   48.4   39.9   111.6   446.8   477.2   233.7  1289.6
2023   47.8   43.4   89.1  165.7  192.5  238.2  126.5  138.3  118.5   62.0   61.0   24.7   131.1   447.3   503.0   241.5  1307.6
2024   53.4   59.2   92.9  131.1  143.3  151.4  130.8  120.9  130.0   64.8   35.5   18.9   137.2   367.4   403.1   230.3  1132.3
2025   54.7   57.4  126.9  223.2  291.6  136.1  143.7  154.7  107.1   45.7   53.0   32.4   131.1   641.7   434.5   205.8  1426.6
2026   39.7   37.8  108.5  201.8                                                           109.9                                
