Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total duration of bright sunshine for England NW and N Wales
Areal series, starting in 1910
Last updated 01-May-2026 11:32
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1998   40.6   58.4   73.1  128.8  195.4  127.7  133.2  164.2  119.0   85.9   58.8   35.5   128.6   397.3   425.2   263.7  1220.7
1999   46.2   64.7   94.3  147.5  143.9  185.9  211.4  131.7  147.1  104.8   58.9   37.7   146.4   385.8   528.9   310.8  1374.0
2000   49.9   79.9  102.5  134.9  230.4  157.6  168.8  167.6  106.0   78.7   34.4   39.3   167.4   467.7   494.0   219.1  1349.9
2001   68.2   76.8  115.8  127.2  217.2  157.1  173.2  157.2   95.2   96.5   44.1   66.4   184.3   460.3   487.5   235.8  1395.0
2002   36.7   59.5  116.5  170.3  166.3  147.6  135.6  138.0  144.2   90.2   53.0   39.2   162.6   453.2   421.2   287.4  1297.2
2003   65.5   94.4  166.7  192.1  171.4  200.0  147.4  182.5  132.1  115.0   59.7   48.0   199.0   530.2   529.8   306.8  1574.7
2004   33.5  100.6  111.0  111.6  212.0  163.5  148.8  150.9  132.2   82.4   37.1   48.8   182.1   434.7   463.2   251.7  1332.5
2005   38.7   71.6   84.2  140.0  210.7  167.4  161.4  189.1  128.5   60.0   78.7   45.1   159.0   435.0   517.9   267.2  1375.4
2006   52.4   72.4   84.1  167.1  168.7  196.4  267.6  126.4  148.6   87.2   69.3   35.1   169.9   419.9   590.4   305.1  1475.2
2007   48.3   72.3  133.3  210.8  177.0  143.3  154.6  169.8  125.8  105.4   50.0   47.5   155.6   521.2   467.8   281.2  1438.2
2008   31.4  106.9  109.1  134.9  194.2  169.4  153.3   91.7   98.0  101.3   54.5   54.9   185.9   438.2   414.4   253.8  1299.7
2009   52.3   43.3  128.1  163.0  192.9  189.5  148.0  143.6  107.1   81.1   45.3   45.7   150.5   484.0   481.1   233.4  1339.8
2010   55.3   60.8  117.0  181.3  199.5  215.3  101.4  156.6  126.1  112.6   74.3   47.8   161.8   497.8   473.3   313.0  1447.9
2011   52.8   49.1  141.9  211.4  169.0  185.2  192.0  125.2  119.8   76.9   64.4   23.6   149.7   522.3   502.5   261.2  1411.4
2012   55.0   55.6  148.5  120.3  208.1  113.5  125.4  137.0  116.5   92.3   57.8   43.4   134.2   477.0   375.9   266.6  1273.3
2013   29.1   78.3   95.0  159.5  167.9  187.7  267.0  144.1   99.9   61.8   67.7   37.0   150.7   422.5   598.7   229.4  1395.0
2014   33.1   64.1  123.4  137.7  133.5  188.0  236.8  164.2  130.4   74.2   57.7   46.3   134.3   394.6   589.0   262.3  1389.5
2015   49.4   67.4  106.8  210.2  154.2  193.2  158.3  156.1  160.5   82.7   31.7   23.8   163.1   471.1   507.5   274.9  1394.1
2016   31.1   76.4  110.3  161.0  223.7  143.6  144.6  164.2  125.7   97.2   68.1   37.8   131.3   495.0   452.4   291.0  1383.7
2017   50.4   39.8  115.9  151.1  221.5  145.1  172.9  145.1   97.8   63.1   64.6   36.9   128.0   488.6   463.1   225.5  1304.2
2018   43.9   94.0   82.9  121.5  255.5  257.6  246.8  134.8  117.8   98.9   55.9   28.9   174.8   459.9   639.2   272.7  1538.6
2019   43.6  104.3  101.0  179.8  187.5  159.6  169.0  166.6  139.5   89.5   43.1   39.5   176.8   468.3   495.2   272.1  1423.0
2020   38.8   63.9  136.2  226.5  271.9  151.6  121.1  140.2  147.4   67.4   45.9   28.1   142.1   634.6   412.9   260.6  1438.9
2021   36.1   74.0  110.1  237.0  169.9  190.1  208.8  137.3  116.2   73.6   57.0   28.3   138.1   517.0   536.2   246.9  1438.5
2022   61.9   60.9  164.3  172.4  143.0  189.6  175.3  215.5  115.0   98.3   51.7   50.4   151.1   479.7   580.4   265.1  1498.3
2023   58.8   65.6   71.6  157.7  241.2  257.6  129.1  140.3  125.5   75.2   57.2   25.7   174.8   470.5   527.0   258.0  1405.5
2024   55.1   44.8   89.0  112.9  145.7  168.0  144.1  150.4  112.9   93.2   45.5   20.0   125.6   347.6   462.4   251.7  1181.5
2025   58.6   64.1  160.7  228.9  283.8  177.2  175.3  178.3  119.9   49.9   61.0   41.4   142.6   673.4   530.7   230.9  1599.1
2026   48.0   31.3  120.5  217.3                                                           120.7                                
