Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total duration of bright sunshine for England E and NE
Areal series, starting in 1910
Last updated 01-May-2026 11:32
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1980   46.6   34.5   84.2  162.1  220.1  146.8  136.1  131.2  127.7  105.0   49.9   45.8   130.0   466.4   414.1   282.5  1289.9
1981   52.6   64.0   63.8  134.7  168.2  165.4  159.3  170.3  154.1  133.6   57.2   46.8   162.4   366.7   495.0   344.9  1369.9
1982   53.9   56.8  145.7  163.7  223.8  124.3  166.9  158.8  150.1   59.4   54.5   45.1   157.4   533.1   450.0   264.1  1402.9
1983   58.9   65.0   84.4  122.2  108.0  160.3  196.4  189.0  111.1  109.5   43.9   44.0   169.0   314.6   545.8   264.5  1292.7
1984   60.2   54.9   48.4  200.2  178.4  180.2  213.2  188.9   98.6  106.8   44.6   48.0   159.1   427.0   582.3   250.0  1422.5
1985   38.0   71.4  110.0  110.6  137.1  164.1  163.0  145.9  115.8  104.2   84.5   34.4   157.5   357.7   473.0   304.6  1279.1
1986   60.2   63.9  123.5  113.2  196.5  198.4  161.6  118.9  184.4  123.7   76.7   49.2   158.5   433.2   478.9   384.9  1470.3
1987   48.9   67.0   97.1  145.2  175.6  102.1  153.8  126.6  157.1   96.5   49.8   26.7   165.0   417.9   382.5   303.4  1246.4
1988   47.4  107.5   96.7  112.4  182.9  178.9  143.8  181.7  142.7   92.9   89.3   54.0   181.6   392.0   504.3   324.8  1430.0
1989   61.6   96.4  113.8  122.5  253.6  227.8  247.3  219.1  129.8   91.7   76.3   29.4   211.9   489.8   694.2   297.7  1669.1
1990   58.5   72.6  132.3  196.3  214.9  113.8  236.0  209.4  123.6   86.3   51.5   41.2   160.5   543.5   559.1   261.4  1536.2
1991   73.7   49.8   66.8  148.7  128.1  143.1  185.1  196.1  167.8   76.6   57.0   49.0   164.6   343.5   524.3   301.4  1341.6
1992   59.7   78.0   89.7  119.6  233.8  193.8  161.9  174.5  109.4   85.5   66.4   36.4   186.7   443.1   530.2   261.3  1408.8
1993   43.2   49.0  111.5  104.5  163.0  176.0  166.6  162.2   89.8   93.2   41.7   49.5   128.7   378.9   504.8   224.7  1250.3
1994   63.7   61.6  123.5  170.7  157.0  208.6  204.2  165.8  111.8   95.6   57.0   57.0   174.8   451.1   578.6   264.3  1476.5
1995   55.1   87.5  153.9  168.5  195.2  183.5  219.6  250.9  125.7  126.2   56.6   35.7   199.6   517.6   653.9   308.5  1658.3
1996   14.2   81.3   45.1  122.8  185.3  223.3  210.3  178.3  112.4  112.8   84.8   41.9   131.2   353.2   611.9   310.0  1412.4
1997   42.1   84.9  132.3  133.2  217.8  128.7  207.3  187.0  157.4  112.2   37.8   32.2   168.9   483.2   523.0   307.5  1472.9
1998   43.8   84.8   80.1  115.6  177.4  129.5  146.2  166.2   95.0  110.9   68.1   39.9   160.8   373.1   441.9   274.1  1257.6
1999   63.4   97.6  104.9  149.5  162.9  160.7  213.2  140.0  157.4  104.8   64.1   65.2   201.0   417.3   513.9   326.4  1483.8
2000   77.5   96.7  122.2  130.8  194.6  157.5  130.4  188.9  100.1  100.9   60.7   53.6   239.4   447.7   476.7   261.7  1413.9
2001   72.7   94.2  109.4  124.3  249.5  163.4  175.0  170.4   97.5  110.1   61.6   64.6   220.5   483.2   508.9   269.2  1492.8
2002   42.9   80.0  121.4  190.2  162.9  163.0  153.6  146.3  130.0   91.1   48.8   29.2   187.5   474.5   462.9   269.9  1359.5
2003   57.6   99.8  168.2  192.4  187.4  212.0  180.4  208.7  162.7  129.1   65.8   61.2   186.7   548.0   601.1   357.6  1725.3
2004   46.0   91.5  104.7  116.1  209.7  179.7  164.7  158.4  156.3   92.1   50.2   63.1   198.7   430.5   502.8   298.6  1432.5
2005   55.7   72.5   66.0  151.0  217.1  181.8  167.4  183.0  153.8   58.3  100.0   57.8   191.3   434.0   532.1   312.1  1464.4
2006   45.3   64.2   93.0  170.4  192.7  200.7  292.0  138.1  160.0   89.6   94.3   61.2   167.4   456.0   630.7   343.8  1601.3
2007   72.9   76.5  137.5  200.1  160.2  134.2  171.4  199.5  147.8  116.9   70.1   42.9   210.6   497.8   505.1   334.8  1530.0
2008   46.8  112.9  134.2  131.9  211.3  178.0  185.0  109.8  103.9  126.9   65.0   56.4   202.7   477.4   472.8   295.8  1462.1
2009   52.3   58.9  160.9  157.7  230.4  191.0  190.0  172.8  137.2   86.4   72.3   65.2   167.6   549.1   553.7   296.0  1575.1
2010   53.3   52.5  124.0  173.4  211.1  220.0  153.6  165.3  134.5  104.5   73.5   59.2   170.9   508.4   538.9   312.5  1524.8
2011   56.8   53.6  131.8  216.8  210.4  196.5  175.1  138.8  151.3  105.4   57.3   52.4   169.6   559.1   510.3   314.0  1546.3
2012   73.3   74.2  176.0  106.8  194.0  107.5  144.7  154.9  156.0  107.4   69.1   57.9   199.9   476.9   407.1   332.5  1421.9
2013   44.4   77.5   69.0  168.3  180.8  176.4  242.3  180.3  135.5   81.5   87.3   58.1   179.8   418.1   599.0   304.2  1501.3
2014   50.0   84.1  131.9  129.1  163.9  163.7  228.2  186.5  114.6   94.6   47.0   77.3   192.2   424.9   578.4   256.2  1470.9
2015   76.2   94.4  124.4  224.2  190.6  204.3  178.8  180.1  159.0   90.3   48.0   37.3   247.9   539.2   563.2   297.4  1607.7
2016   37.2  103.0  111.5  163.7  198.0  135.3  187.4  202.5  142.5  101.3   82.2   53.6   177.5   473.1   525.2   326.0  1518.2
2017   59.6   61.9  135.4  177.4  205.7  176.5  178.9  182.9  118.0   84.2   88.5   65.1   175.1   518.5   538.3   290.8  1534.1
2018   59.0   83.4   83.0  126.9  261.6  223.2  246.1  168.7  145.9  125.6   63.7   53.6   207.5   471.4   637.9   335.1  1640.5
2019   70.2  122.6  141.0  189.3  196.2  161.9  184.5  196.8  161.9   92.3   44.6   60.7   246.3   526.5   543.2   298.9  1622.0
2020   67.3   90.2  153.6  223.6  276.1  153.2  142.6  142.5  152.7   70.3   60.1   44.1   218.2   653.3   438.3   283.1  1576.3
2021   53.3   78.9  114.8  232.7  169.6  201.4  190.6  128.9  136.4   93.3   73.2   35.0   176.3   517.1   520.9   302.9  1508.1
2022  102.6   99.2  176.3  191.5  171.8  210.1  194.0  231.2  126.7  130.3   46.6   60.5   236.8   539.6   635.3   303.6  1740.8
2023   89.1   84.8   95.6  160.7  197.2  239.3  159.1  168.8  145.3   75.1   72.9   38.5   234.4   453.5   567.2   293.4  1526.4
2024   61.4   61.9   96.0  125.7  151.0  190.7  167.2  183.4  120.9  111.2   66.2   34.5   161.7   372.7   541.3   298.3  1370.1
2025   80.9   65.9  174.4  232.8  257.7  227.3  185.5  184.8  152.5   83.7   60.7   43.3   181.2   665.0   597.6   296.9  1749.6
2026   50.4   39.8  141.9  228.6                                                           133.5                                
