Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total duration of bright sunshine for East Anglia
Areal series, starting in 1910
Last updated 01-May-2026 11:32
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1977   45.9   68.1  104.0  158.1  220.8  130.9  191.0  141.4  125.7  126.1   88.3   51.6   175.2   482.9   463.3   340.1  1452.0
1978   39.6   55.3  118.5  113.2  188.3  165.6  132.7  152.6  159.8   95.6   82.7   35.5   146.6   420.0   450.9   338.2  1339.6
1979   54.0   47.4   94.6  122.7  200.2  174.6  181.8  171.8  183.6  116.0   68.3   59.5   136.9   417.6   528.2   367.9  1474.6
1980   68.7   54.3   80.9  165.5  235.7  188.7  160.0  150.0  150.3  129.6   56.3   52.3   182.6   482.0   498.8   336.2  1492.4
1981   52.5   66.5   55.1  129.1  144.0  160.2  157.9  190.8  165.6  128.1   57.7   42.0   171.3   328.2   509.0   351.4  1349.6
1982   64.4   55.6  160.3  166.3  238.1  153.2  181.6  178.4  159.7   73.4   62.9   52.3   162.1   564.8   513.2   295.9  1546.3
1983   56.0   87.5   90.5  140.1  137.4  181.6  239.9  208.6  112.5  124.7   41.6   55.7   195.8   368.0   630.1   278.8  1476.0
1984   83.8   69.9   47.7  224.0  128.5  201.5  205.5  205.6   97.8  109.1   54.7   64.5   209.4   400.2   612.6   261.5  1492.4
1985   45.8   80.0   97.4  136.1  144.2  160.0  218.5  180.4  133.8  118.1   91.3   33.4   190.3   377.6   559.0   343.1  1439.0
1986   70.8   66.6  125.4  132.8  204.7  229.0  185.7  147.3  170.3  120.1   69.1   60.7   170.8   463.0   562.0   359.5  1582.6
1987   44.3   64.4   94.8  151.6  182.6  116.7  164.3  146.5  155.1  121.0   46.4   28.8   169.5   428.9   427.5   322.5  1316.6
1988   54.0  117.1   90.6  131.1  189.7  148.0  159.2  201.9  137.4  104.1   87.4   48.1   200.0   411.5   509.1   328.8  1468.7
1989   69.2   97.5  103.2  122.3  298.7  249.8  261.4  251.2  127.7   97.3  102.6   26.9   214.9   524.2   762.3   327.5  1807.6
1990   63.1   96.6  151.5  232.4  260.0  138.6  258.9  254.6  136.4  126.7   56.7   45.4   186.5   643.9   652.1   319.8  1820.9
