Substation/Group,Voltage,Scenario,DFES Year,Financial Year,Headroom (MW),Headroom Type,Grid_Group,Primary_Group
ABERYSTWYTH GT2 / RHYDLYDAN GT1,33.0,HE,2035.0,2035/36,0.0,Demand,#N/A,ABERYSTWYTH GT2 / RHYDLYDAN GT1
ABERYSTWYTH GT2 / RHYDLYDAN GT1,33.0,HE,2038.0,2038/39,0.0,Demand,#N/A,ABERYSTWYTH GT2 / RHYDLYDAN GT1
ABERYSTWYTH GT2 / RHYDLYDAN GT1,33.0,HE,2041.0,2041/42,0.0,Demand,#N/A,ABERYSTWYTH GT2 / RHYDLYDAN GT1
ABERYSTWYTH GT2 / RHYDLYDAN GT1,33.0,HE,2046.0,2046/47,0.0,Demand,#N/A,ABERYSTWYTH GT2 / RHYDLYDAN GT1
ABERYSTWYTH GT2 / RHYDLYDAN GT1,33.0,HE,2048.0,2048/49,0.0,Demand,#N/A,ABERYSTWYTH GT2 / RHYDLYDAN GT1
ABERYSTWYTH GT2 / RHYDLYDAN GT1,33.0,HT,2026.0,2026/27,6.357702822823732,Demand,#N/A,ABERYSTWYTH GT2 / RHYDLYDAN GT1
ABERYSTWYTH GT2 / RHYDLYDAN GT1,33.0,HT,2030.0,2030/31,11.44047998808813,Demand,#N/A,ABERYSTWYTH GT2 / RHYDLYDAN GT1
ABERYSTWYTH GT2 / RHYDLYDAN GT1,33.0,HT,2031.0,2031/32,8.506045095820674,Demand,#N/A,ABERYSTWYTH GT2 / RHYDLYDAN GT1
ABERYSTWYTH GT2 / RHYDLYDAN GT1,33.0,HT,2033.0,2033/34,2.048405379440077,Demand,#N/A,ABERYSTWYTH GT2 / RHYDLYDAN GT1
ABERYSTWYTH GT2 / RHYDLYDAN GT1,33.0,HT,2035.0,2035/36,0.0,Demand,#N/A,ABERYSTWYTH GT2 / RHYDLYDAN GT1
ABERYSTWYTH GT2 / RHYDLYDAN GT1,33.0,HT,2038.0,2038/39,0.0,Demand,#N/A,ABERYSTWYTH GT2 / RHYDLYDAN GT1
ABERYSTWYTH GT2 / RHYDLYDAN GT1,33.0,HT,2040.0,2040/41,0.0,Demand,#N/A,ABERYSTWYTH GT2 / RHYDLYDAN GT1
ABERYSTWYTH GT2 / RHYDLYDAN GT1,33.0,HT,2041.0,2041/42,0.0,Demand,#N/A,ABERYSTWYTH GT2 / RHYDLYDAN GT1
ABERYSTWYTH GT2 / RHYDLYDAN GT1,33.0,HT,2044.0,2044/45,0.0,Demand,#N/A,ABERYSTWYTH GT2 / RHYDLYDAN GT1
ABERYSTWYTH GT2 / RHYDLYDAN GT1,33.0,HT,2045.0,2045/46,0.0,Demand,#N/A,ABERYSTWYTH GT2 / RHYDLYDAN GT1
ABERYSTWYTH GT2 / RHYDLYDAN GT1,33.0,HT,2047.0,2047/48,0.0,Demand,#N/A,ABERYSTWYTH GT2 / RHYDLYDAN GT1
ABERYSTWYTH T1 / NORTH RD T1 / PARC-Y-LLYN T1 / PARC-Y-LLYN T2 / U C WALES T1,11.0,EE,2036.0,2036/37,5.784118579546515,Demand,ABERYSTWYTH GT2 / RHYDLYDAN GT1,ABERYSTWYTH T1 / NORTH RD T1 / PARC-Y-LLYN T1 / PARC-Y-LLYN T2 / U C WALES T1
ABERYSTWYTH T1 / NORTH RD T1 / PARC-Y-LLYN T1 / PARC-Y-LLYN T2 / U C WALES T1,11.0,EE,2039.0,2039/40,0.0,Demand,ABERYSTWYTH GT2 / RHYDLYDAN GT1,ABERYSTWYTH T1 / NORTH RD T1 / PARC-Y-LLYN T1 / PARC-Y-LLYN T2 / U C WALES T1
ABERYSTWYTH T1 / NORTH RD T1 / PARC-Y-LLYN T1 / PARC-Y-LLYN T2 / U C WALES T1,11.0,EE,2044.0,2044/45,0.0,Demand,ABERYSTWYTH GT2 / RHYDLYDAN GT1,ABERYSTWYTH T1 / NORTH RD T1 / PARC-Y-LLYN T1 / PARC-Y-LLYN T2 / U C WALES T1
ABERYSTWYTH T1 / NORTH RD T1 / PARC-Y-LLYN T1 / PARC-Y-LLYN T2 / U C WALES T1,11.0,EE,2046.0,2046/47,0.0,Demand,ABERYSTWYTH GT2 / RHYDLYDAN GT1,ABERYSTWYTH T1 / NORTH RD T1 / PARC-Y-LLYN T1 / PARC-Y-LLYN T2 / U C WALES T1
ABERYSTWYTH T1 / NORTH RD T1 / PARC-Y-LLYN T1 / PARC-Y-LLYN T2 / U C WALES T1,11.0,EE,2048.0,2048/49,0.0,Demand,ABERYSTWYTH GT2 / RHYDLYDAN GT1,ABERYSTWYTH T1 / NORTH RD T1 / PARC-Y-LLYN T1 / PARC-Y-LLYN T2 / U C WALES T1
ABERYSTWYTH T1 / NORTH RD T1 / PARC-Y-LLYN T1 / PARC-Y-LLYN T2 / U C WALES T1,11.0,HE,2035.0,2035/36,10.81565891336357,Demand,ABERYSTWYTH GT2 / RHYDLYDAN GT1,ABERYSTWYTH T1 / NORTH RD T1 / PARC-Y-LLYN T1 / PARC-Y-LLYN T2 / U C WALES T1
ABERYSTWYTH T1 / NORTH RD T1 / PARC-Y-LLYN T1 / PARC-Y-LLYN T2 / U C WALES T1,11.0,HE,2037.0,2037/38,7.420495861156613,Demand,ABERYSTWYTH GT2 / RHYDLYDAN GT1,ABERYSTWYTH T1 / NORTH RD T1 / PARC-Y-LLYN T1 / PARC-Y-LLYN T2 / U C WALES T1
ABERYSTWYTH T1 / NORTH RD T1 / PARC-Y-LLYN T1 / PARC-Y-LLYN T2 / U C WALES T1,11.0,HE,2038.0,2038/39,5.723240102311397,Demand,ABERYSTWYTH GT2 / RHYDLYDAN GT1,ABERYSTWYTH T1 / NORTH RD T1 / PARC-Y-LLYN T1 / PARC-Y-LLYN T2 / U C WALES T1
ABERYSTWYTH T1 / NORTH RD T1 / PARC-Y-LLYN T1 / PARC-Y-LLYN T2 / U C WALES T1,11.0,HE,2039.0,2039/40,4.18712228670924,Demand,ABERYSTWYTH GT2 / RHYDLYDAN GT1,ABERYSTWYTH T1 / NORTH RD T1 / PARC-Y-LLYN T1 / PARC-Y-LLYN T2 / U C WALES T1
ABERYSTWYTH T1 / NORTH RD T1 / PARC-Y-LLYN T1 / PARC-Y-LLYN T2 / U C WALES T1,11.0,HE,2041.0,2041/42,1.606608279365851,Demand,ABERYSTWYTH GT2 / RHYDLYDAN GT1,ABERYSTWYTH T1 / NORTH RD T1 / PARC-Y-LLYN T1 / PARC-Y-LLYN T2 / U C WALES T1
ABERYSTWYTH T1 / NORTH RD T1 / PARC-Y-LLYN T1 / PARC-Y-LLYN T2 / U C WALES T1,11.0,HE,2044.0,2044/45,0.0,Demand,ABERYSTWYTH GT2 / RHYDLYDAN GT1,ABERYSTWYTH T1 / NORTH RD T1 / PARC-Y-LLYN T1 / PARC-Y-LLYN T2 / U C WALES T1
ABERYSTWYTH T1 / NORTH RD T1 / PARC-Y-LLYN T1 / PARC-Y-LLYN T2 / U C WALES T1,11.0,HE,2046.0,2046/47,0.0,Demand,ABERYSTWYTH GT2 / RHYDLYDAN GT1,ABERYSTWYTH T1 / NORTH RD T1 / PARC-Y-LLYN T1 / PARC-Y-LLYN T2 / U C WALES T1
ABERYSTWYTH T1 / NORTH RD T1 / PARC-Y-LLYN T1 / PARC-Y-LLYN T2 / U C WALES T1,11.0,HE,2049.0,2049/50,0.0,Demand,ABERYSTWYTH GT2 / RHYDLYDAN GT1,ABERYSTWYTH T1 / NORTH RD T1 / PARC-Y-LLYN T1 / PARC-Y-LLYN T2 / U C WALES T1
ABERYSTWYTH T1 / NORTH RD T1 / PARC-Y-LLYN T1 / PARC-Y-LLYN T2 / U C WALES T1,11.0,HT,2028.0,2028/29,19.1211348381211,Demand,ABERYSTWYTH GT2 / RHYDLYDAN GT1,ABERYSTWYTH T1 / NORTH RD T1 / PARC-Y-LLYN T1 / PARC-Y-LLYN T2 / U C WALES T1
ABERYSTWYTH T1 / NORTH RD T1 / PARC-Y-LLYN T1 / PARC-Y-LLYN T2 / U C WALES T1,11.0,HT,2039.0,2039/40,1.513673634759868,Demand,ABERYSTWYTH GT2 / RHYDLYDAN GT1,ABERYSTWYTH T1 / NORTH RD T1 / PARC-Y-LLYN T1 / PARC-Y-LLYN T2 / U C WALES T1
ABERYSTWYTH T1 / NORTH RD T1 / PARC-Y-LLYN T1 / PARC-Y-LLYN T2 / U C WALES T1,11.0,HT,2040.0,2040/41,0.0,Demand,ABERYSTWYTH GT2 / RHYDLYDAN GT1,ABERYSTWYTH T1 / NORTH RD T1 / PARC-Y-LLYN T1 / PARC-Y-LLYN T2 / U C WALES T1
ABERYSTWYTH T1 / NORTH RD T1 / PARC-Y-LLYN T1 / PARC-Y-LLYN T2 / U C WALES T1,11.0,HT,2043.0,2043/44,0.0,Demand,ABERYSTWYTH GT2 / RHYDLYDAN GT1,ABERYSTWYTH T1 / NORTH RD T1 / PARC-Y-LLYN T1 / PARC-Y-LLYN T2 / U C WALES T1
ABERYSTWYTH T1 / NORTH RD T1 / PARC-Y-LLYN T1 / PARC-Y-LLYN T2 / U C WALES T1,11.0,HT,2046.0,2046/47,0.0,Demand,ABERYSTWYTH GT2 / RHYDLYDAN GT1,ABERYSTWYTH T1 / NORTH RD T1 / PARC-Y-LLYN T1 / PARC-Y-LLYN T2 / U C WALES T1
ABERYSTWYTH T1 / NORTH RD T1 / PARC-Y-LLYN T1 / PARC-Y-LLYN T2 / U C WALES T1,11.0,HT,2048.0,2048/49,0.0,Demand,ABERYSTWYTH GT2 / RHYDLYDAN GT1,ABERYSTWYTH T1 / NORTH RD T1 / PARC-Y-LLYN T1 / PARC-Y-LLYN T2 / U C WALES T1
ACER AVE T1,11.0,EE,2040.0,2040/41,0.0,Demand,COPPENHALL GT1 / CREWE GT1 / CREWE GT2A / CREWE GT4A / RADWAY GREEN GT1 / RADWAY GREEN GT2 / WHITCHURCH GT2,ACER AVE T1
