AssetID,GSP Grouping / Default Order,Map / License Area,Substation,Upstream GSP,Upstream BSP,Substation Type,Voltage (kV),Location Latitude,Location Longitude,Grid Reference,Substation Comment,LTDS CIM Nodes,Transformer Nameplate Ratings,Single Transformer Site,Maximum Observed Gross Demand (MVA),Minimum Observed Gross Demand (MVA),Contracted Demand Excl BESS (MVA),Contracted BESS Demand (MVA),Estimated Demand Headroom (MVA),Substation Demand RAG Status,Demand Constraint,TIA Threshold,Connected Generation (MW),Contracted Generation (MW),Technical Limits Agreed at GSP,Estimated Generation Headroom (MW),3-Phase Break Fault Rating (kA),3-Phase Break Fault Level (kA),Substation Generation RAG Status,Generation Constraint,Upstream Reinforcement Works,Upstream Reinforcement Completion Date,Substation Reinforcement Works,Substation Reinforcement Completion Date
E - LALE - 10,E - LALE - 10,England / SEPD,Egham Primary,Laleham GSP,Staines BSP,Primary,33 / 11,51.43264,-0.54804278,TQ 01030 71404,,86482,2 x 15 / 30MVA,No,21.84,6.43,4.56,0.00,5.50,Green,,5MW,0.00,0.00,Yes,0.00,20.00,16.71,Red,Upstream Thermal Capacity,,,Add a 3rd 15 / 30MVA transformer,Jun-32
E - LALE - 11,E - LALE - 11,England / SEPD,Sidney Road Primary,Laleham GSP,Staines BSP,Primary,33 / 11,51.435285,-0.50379132,TQ 04100 71760,,86530,2 x 15 / 30MVA,No,12.78,3.38,2.66,0.00,8.65,Green,,5MW,0.00,0.00,Yes,0.00,13.10,16.48,Red,Upstream Thermal Capacity & Substation Fault Level,,,,
E - LALE - 12,E - LALE - 12,England / SEPD,Stanwell Primary,Laleham GSP,Staines BSP,Primary,33 / 11,51.443975,-0.47612389,TQ 06003 72766,,86477,2 x 15 / 30MVA,No,8.65,3.42,10.58,0.00,3.77,Green,,5MW,0.00,0.00,Yes,0.00,13.10,15.55,Red,Upstream Thermal Capacity & Substation Fault Level,,,,
E - LALE - 13,E - LALE - 13,England / SEPD,Sunbury Cross Primary,Laleham GSP,Staines BSP,Primary,33 / 11,51.418306,-0.41873203,TQ 10053 69996,,"86513, 86524",3 x 15 / 30MVA,No,29.72,6.23,11.08,0.00,18.99,Green,,5MW,0.00,0.05,Yes,0.00,25.00,15.22,Red,Upstream Thermal Capacity,,,,
E - LOVE - 01,E - LOVE - 01,England / SEPD,Lovedean GSP,N/A,N/A,GSP,400 / 132,50.917017,-1.0402935,SU 67560 13500,,"16285, 16286, 16287, 16288",4 x 240MVA,No,587.94,223.71,403.58,660.59,N/A,Red,Substation Thermal Capacity,5MW,348.58,772.33,Yes,N/A,25.00,12.10,Red,Substation Thermal Capacity,,,Replace the 132kV board with 40kA break / 100kA make switchgear,Feb-31
E - LOVE - 02,E - LOVE - 02,England / SEPD,Chichester BSP,Lovedean GSP,N/A,BSP,132 / 33,50.858903,-0.69022927,SU 92282 07416,Chichester and Hunston BSP's are run in parallel so the estimated headroom includes both BSP's. Note that due to this network arrangement detailed studies are required regardless of any estimated headroom shown,"13202, 13240",1 x 37.5 / 75MVA + 1 x 55 / 90MVA,No,90.61,15.30,93.39,0.00,0.00,Red,Substation Thermal Capacity & Upstream Thermal Capacity,5MW,89.29,77.46,Yes,0.00,25.00,16.96,Red,Substation Thermal Capacity & Upstream Thermal Capacity,,,Replace the existing 75MVA transformer with a 90MVA unit,Jul-26
E - LOVE - 03,E - LOVE - 03,England / SEPD,Fareham (Main) BSP,Lovedean GSP,N/A,BSP,132 / 33,50.833059,-1.1985874,SU 56534 04031,,"15391, 15396",2 x 45 / 90MVA,No,89.79,12.93,55.60,7.37,0.00,Red,Substation Thermal Capacity & Upstream Thermal Capacity,5MW,75.84,32.08,Yes,0.00,25.00,15.08,Red,Substation Thermal Capacity & Upstream Thermal Capacity,Replace the existing 132kV fluid filled cables between Fort Widley Switching Station and Fareham (Main and Reserve) BSP,Jun-26,,
E - LOVE - 04,E - LOVE - 04,England / SEPD,Fareham (Reserve) BSP,Lovedean GSP,N/A,BSP,132 / 33,50.833059,-1.1985874,SU 56534 04031,,15425,1 x 40 / 60MVA + 1 x 90MVA,No,51.12,7.36,39.55,55.29,0.00,Red,Substation Thermal Capacity & Upstream Thermal Capacity,5MW,38.00,49.90,Yes,0.00,25.00,11.43,Red,Substation Thermal Capacity & Upstream Thermal Capacity,Replace the existing 132kV fluid filled cables between Fort Widley Switching Station and Fareham (Main and Reserve) BSP,Jun-26,,
E - LOVE - 05,E - LOVE - 05,England / SEPD,Fort Widley BSP,Lovedean GSP,N/A,BSP,132 / 33,50.865831,-1.048397,SU 67064 07801,,"16195, 16196, 16263, 16264",1 x 40 / 60MVA + 60MVA,No,27.03,4.92,16.47,0.00,0.00,Red,Upstream Thermal Capacity,5MW,38.26,0.00,Yes,0.00,25.00,13.28,Red,Upstream Thermal Capacity,,,Replace both transformers with 90MVA units,Oct-27
E - LOVE - 06,E - LOVE - 06,England / SEPD,Havant BSP,Lovedean GSP,N/A,BSP,132 / 33,50.8467,-0.99819999,SU 70625 05720,,"16908, 16918, 16953",2 x 45 / 90MVA,No,80.21,16.52,33.21,0.00,0.00,Red,Upstream Thermal Capacity,5MW,30.74,21.00,Yes,0.00,25.00,15.64,Red,Upstream Thermal Capacity,,,,
