Substation/Group,Voltage,Scenario,Year,Financial Year,Headroom (MW),Headroom Type,GSP,Primary_Substation
HIGH MAINS MILTON,11.0,EE,2041,2041/42,0.0,Demand,STRATHLEVEN,HIGH MAINS MILTON
HIGH MAINS MILTON,11.0,EE,2042,2042/43,0.0,Demand,STRATHLEVEN,HIGH MAINS MILTON
HIGH MAINS MILTON,11.0,EE,2043,2043/44,0.0,Demand,STRATHLEVEN,HIGH MAINS MILTON
HIGH MAINS MILTON,11.0,EE,2048,2048/49,0.0,Demand,STRATHLEVEN,HIGH MAINS MILTON
HIGH MAINS MILTON,11.0,HE,2042,2042/43,0.0,Demand,STRATHLEVEN,HIGH MAINS MILTON
HIGH MAINS MILTON,11.0,HE,2047,2047/48,0.0,Demand,STRATHLEVEN,HIGH MAINS MILTON
HIGH MAINS MILTON,11.0,HE,2049,2049/50,0.0,Demand,STRATHLEVEN,HIGH MAINS MILTON
HIGH MAINS MILTON,11.0,HT,2024,2024/25,3.889964484243255,Demand,STRATHLEVEN,HIGH MAINS MILTON
HIGH MAINS MILTON,11.0,HT,2027,2027/28,3.834093147368273,Demand,STRATHLEVEN,HIGH MAINS MILTON
HIGH MAINS MILTON,11.0,HT,2028,2028/29,3.532988074216028,Demand,STRATHLEVEN,HIGH MAINS MILTON
HIGH MAINS MILTON,11.0,HT,2029,2029/30,3.143795671052601,Demand,STRATHLEVEN,HIGH MAINS MILTON
HIGH MAINS MILTON,11.0,HT,2034,2034/35,0.04281317029641762,Demand,STRATHLEVEN,HIGH MAINS MILTON
HIGH MAINS MILTON,11.0,HT,2036,2036/37,0.0,Demand,STRATHLEVEN,HIGH MAINS MILTON
HIGH MAINS MILTON,11.0,HT,2039,2039/40,0.0,Demand,STRATHLEVEN,HIGH MAINS MILTON
HIGH MAINS MILTON,11.0,HT,2042,2042/43,0.0,Demand,STRATHLEVEN,HIGH MAINS MILTON
HIGH MAINS MILTON,11.0,HT,2045,2045/46,0.0,Demand,STRATHLEVEN,HIGH MAINS MILTON
HIGH MAINS MILTON,11.0,HT,2047,2047/48,0.0,Demand,STRATHLEVEN,HIGH MAINS MILTON
HIGH MAINS MILTON,11.0,HT,2048,2048/49,0.0,Demand,STRATHLEVEN,HIGH MAINS MILTON
HIGH MAINS MILTON,11.0,HT,2049,2049/50,0.0,Demand,STRATHLEVEN,HIGH MAINS MILTON
HORNCLIFFE,11.0,EE,2036,2036/37,0.0,Demand,BERWICK,HORNCLIFFE
HORNCLIFFE,11.0,EE,2038,2038/39,0.0,Demand,BERWICK,HORNCLIFFE
HORNCLIFFE,11.0,EE,2041,2041/42,0.0,Demand,BERWICK,HORNCLIFFE
HORNCLIFFE,11.0,EE,2043,2043/44,0.0,Demand,BERWICK,HORNCLIFFE
HORNCLIFFE,11.0,EE,2044,2044/45,0.0,Demand,BERWICK,HORNCLIFFE
HORNCLIFFE,11.0,EE,2046,2046/47,0.0,Demand,BERWICK,HORNCLIFFE
HORNCLIFFE,11.0,EE,2047,2047/48,0.0,Demand,BERWICK,HORNCLIFFE
HORNCLIFFE,11.0,HE,2035,2035/36,0.2019908282677347,Demand,BERWICK,HORNCLIFFE
HORNCLIFFE,11.0,HE,2036,2036/37,0.08481132105626177,Demand,BERWICK,HORNCLIFFE
HORNCLIFFE,11.0,HE,2038,2038/39,0.0,Demand,BERWICK,HORNCLIFFE
HORNCLIFFE,11.0,HE,2039,2039/40,0.0,Demand,BERWICK,HORNCLIFFE
HORNCLIFFE,11.0,HE,2041,2041/42,0.0,Demand,BERWICK,HORNCLIFFE
HORNCLIFFE,11.0,HE,2046,2046/47,0.0,Demand,BERWICK,HORNCLIFFE
HORNCLIFFE,11.0,HT,2030,2030/31,0.7670347656409855,Demand,BERWICK,HORNCLIFFE
HORNCLIFFE,11.0,HT,2035,2035/36,0.1108320935179377,Demand,BERWICK,HORNCLIFFE
HORNCLIFFE,11.0,HT,2037,2037/38,0.0,Demand,BERWICK,HORNCLIFFE
HORNCLIFFE,11.0,HT,2038,2038/39,0.0,Demand,BERWICK,HORNCLIFFE
HORNCLIFFE,11.0,HT,2039,2039/40,0.0,Demand,BERWICK,HORNCLIFFE
HORNCLIFFE,11.0,HT,2042,2042/43,0.0,Demand,BERWICK,HORNCLIFFE
HORNCLIFFE,11.0,HT,2043,2043/44,0.0,Demand,BERWICK,HORNCLIFFE
HORNCLIFFE,11.0,HT,2046,2046/47,0.0,Demand,BERWICK,HORNCLIFFE
HORNCLIFFE,11.0,HT,2049,2049/50,0.0,Demand,BERWICK,HORNCLIFFE
HUNTER,11.0,EE,2035,2035/36,14.22849198286906,Demand,EAST KILBRIDE,HUNTER
HUNTER,11.0,EE,2038,2038/39,12.73809628354874,Demand,EAST KILBRIDE,HUNTER
HUNTER,11.0,EE,2042,2042/43,10.95352135429915,Demand,EAST KILBRIDE,HUNTER
HUNTER,11.0,EE,2045,2045/46,9.96519615903879,Demand,EAST KILBRIDE,HUNTER
