Activity Class,District,Representative Station,OSM Type,OSM ID,Building Name,Storeys,Type Tags,OSM URL
Health: Health centre,England SE and Central S,London,way,460379434,Chamberlayne Surgery,2.0,building=yes; amenity=doctors,https://www.openstreetmap.org/way/460379434
Health: Health centre,England SE and Central S,London,way,489652883,Claremont Medical Centre,2.0,building=clinic; amenity=doctors; healthcare=doctor,https://www.openstreetmap.org/way/489652883
Health: Health centre,England SE and Central S,London,way,539475188,Alexandra Surgery,2.0,building=semidetached_house; amenity=doctors,https://www.openstreetmap.org/way/539475188
Health: Health centre,England SE and Central S,London,way,556541723,Staverton Surgery,2.0,building=yes; amenity=doctors,https://www.openstreetmap.org/way/556541723
Health: Health centre,England SE and Central S,London,way,566456238,Sheen Physiotherapy and Sports Injuries Clinic,2.0,building=house; amenity=clinic; healthcare=clinic,https://www.openstreetmap.org/way/566456238
Health: Health centre,England SE and Central S,London,way,577859933,Richmond Park Clinic,2.0,building=house; amenity=clinic; healthcare=clinic,https://www.openstreetmap.org/way/577859933
Health: Health centre,England SE and Central S,London,way,584421611,The Paradise Road Practice,2.0,building=house; amenity=doctors; healthcare=doctor,https://www.openstreetmap.org/way/584421611
Health: Health centre,England SE and Central S,London,way,630380803,Cross Deep Surgery,2.0,building=yes; amenity=doctors; healthcare=doctor,https://www.openstreetmap.org/way/630380803
Health: Health centre,England SE and Central S,London,way,641025586,AGIP,2.0,building=house; amenity=clinic; healthcare=psychotherapist,https://www.openstreetmap.org/way/641025586
Health: Health centre,England SE and Central S,London,way,682012536,West Barnes Lane Surgery,2.0,building=house; amenity=doctors; healthcare=doctor,https://www.openstreetmap.org/way/682012536
Health: Health centre,England SE and Central S,London,way,781268993,The Ivy Clinic,2.0,building=retail; amenity=clinic; healthcare=clinic,https://www.openstreetmap.org/way/781268993
Health: Health centre,England SE and Central S,London,way,803752204,Joyce Campbell Clinic,2.0,building=house; amenity=clinic; healthcare=clinic,https://www.openstreetmap.org/way/803752204
Health: Health centre,England SE and Central S,London,way,823273916,Lowfield Medical Centre,2.0,building=yes; amenity=doctors,https://www.openstreetmap.org/way/823273916
Health: Health centre,England SE and Central S,London,way,824501402,Worlds End Health Centre,2.0,building=yes; amenity=doctors; healthcare=hospital,https://www.openstreetmap.org/way/824501402
Health: Health centre,England SE and Central S,London,way,833065606,Dartford Foot Clinic,2.0,building=retail; amenity=clinic; healthcare=clinic,https://www.openstreetmap.org/way/833065606
Health: Health centre,England SE and Central S,London,way,843994902,Stanhope Mews West Surgery,2.0,building=yes; amenity=doctors; healthcare=doctor,https://www.openstreetmap.org/way/843994902
Health: Health centre,England SE and Central S,London,way,856154833,Trevelyan House Surgery,2.0,building=public; amenity=doctors; healthcare=centre,https://www.openstreetmap.org/way/856154833
Health: Health centre,England SE and Central S,London,way,948868558,Horsman's Place Surgery,2.0,building=yes; amenity=doctors,https://www.openstreetmap.org/way/948868558
Health: Health centre,England SE and Central S,London,way,960900985,Oak Lane Medical Centre,2.0,building=yes; amenity=doctors; healthcare=doctor,https://www.openstreetmap.org/way/960900985
Health: Health centre,England SE and Central S,London,way,1000641021,,2.0,building=hospital; amenity=clinic; healthcare=clinic,https://www.openstreetmap.org/way/1000641021
Health: Health centre,England SE and Central S,London,way,1034315881,Colney Hatch Lane Surgery,2.0,building=terrace; amenity=doctors; healthcare=doctor,https://www.openstreetmap.org/way/1034315881
Health: Health centre,England SE and Central S,London,way,1292147592,The Law Medical Group Practice,2.0,building=yes; amenity=doctors; healthcare=doctor,https://www.openstreetmap.org/way/1292147592
Health: Health centre,England SE and Central S,London,way,1318117489,Freuchen Medical Centre,2.0,building=house; amenity=doctors; healthcare=doctor,https://www.openstreetmap.org/way/1318117489
Health: Health centre,England SE and Central S,London,way,1371150573,Fairview Medical Center,2.0,building=civic; amenity=clinic; healthcare=clinic,https://www.openstreetmap.org/way/1371150573
Health: Health centre,England SE and Central S,London,way,1503213967,Chinbrook Medical Cosmetics Centre,2.0,building=semidetached_house; amenity=doctors; healthcare=doctor,https://www.openstreetmap.org/way/1503213967
Health: Health centre,England SE and Central S,London,way,123372233,Willesden Green Surgery,2.5,building=yes; amenity=doctors; healthcare=doctor,https://www.openstreetmap.org/way/123372233
Health: Health centre,England SE and Central S,London,way,126219066,Rosslyn Surgery,2.5,building=yes; amenity=doctors; healthcare=doctor,https://www.openstreetmap.org/way/126219066
Health: Health centre,England SE and Central S,London,way,31289212,The Family Practice,3.0,building=yes; amenity=doctors; healthcare=doctor,https://www.openstreetmap.org/way/31289212
Health: Health centre,England SE and Central S,London,way,40836299,Bilba Clinic,3.0,building=yes; amenity=clinic; healthcare=clinic,https://www.openstreetmap.org/way/40836299
Health: Health centre,England SE and Central S,London,way,107400649,My Health & Wellbeing,3.0,building=yes; amenity=doctors; healthcare=doctor,https://www.openstreetmap.org/way/107400649
Health: Health centre,England SE and Central S,London,way,129317567,Keats Group Practice,3.0,building=yes; amenity=doctors; healthcare=doctor,https://www.openstreetmap.org/way/129317567
Health: Health centre,England SE and Central S,London,way,153088442,St John's Way Medical Centre,3.0,building=yes; amenity=doctors,https://www.openstreetmap.org/way/153088442
Health: Health centre,England SE and Central S,London,way,156546222,Lancaster Gate Medical Centre,3.0,building=yes; amenity=doctors; healthcare=doctor,https://www.openstreetmap.org/way/156546222
Health: Health centre,England SE and Central S,London,way,181059551,Crystal Palace Clinic,3.0,building=retail; amenity=clinic; healthcare=clinic,https://www.openstreetmap.org/way/181059551
Health: Health centre,England SE and Central S,London,way,184125323,Thurleigh Road Surgery,3.0,building=yes; amenity=doctors; healthcare=doctor,https://www.openstreetmap.org/way/184125323
Health: Health centre,England SE and Central S,London,way,198678806,Croydon Eye Clinic,3.0,building=retail; amenity=doctors; healthcare=doctor,https://www.openstreetmap.org/way/198678806
Health: Health centre,England SE and Central S,London,way,201646038,Finchley Back Care Clinic,3.0,building=house; amenity=clinic; healthcare=clinic,https://www.openstreetmap.org/way/201646038
Health: Health centre,England SE and Central S,London,way,302916911,Ferryview Health Centre,3.0,building=commercial; amenity=clinic; healthcare=clinic,https://www.openstreetmap.org/way/302916911
Health: Health centre,England SE and Central S,London,way,343487546,Blessing Medical Centre,3.0,building=yes; amenity=clinic,https://www.openstreetmap.org/way/343487546
Health: Health centre,England SE and Central S,London,way,422540667,Gower Street Practice,3.0,building=yes; amenity=doctors; healthcare=doctor,https://www.openstreetmap.org/way/422540667
Health: Health centre,England SE and Central S,London,way,422540690,The Ridgmount Practice,3.0,building=yes; amenity=doctors; healthcare=doctor,https://www.openstreetmap.org/way/422540690
